index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
627,-31.065237,-1.568832,-3.673341,-2.721537,1.648618,23.145159,0.000000,0.000000,-0.000000
628,3.524587,-16.424025,-9.666687,-2.927623,1.448575,17.151813,-0.000000,0.000000,-0.000000
629,-33.778308,9.419937,32.424576,4.320892,3.594267,25.002456,0.000000,0.000000,0.000000
630,-26.119359,6.691679,35.940459,5.309841,3.756089,23.710859,-0.000000,0.000000,-0.000000
631,-17.767024,-6.398854,-5.999362,-2.729924,1.531496,20.819138,0.000000,0.000000,0.000000
632,-24.442801,-0.093720,33.036173,4.638899,3.650390,23.455723,0.000000,0.000000,-0.000000
633,35.615136,-6.809009,-16.782583,-2.906864,1.284671,10.035917,0.000000,0.000000,-0.000000
634,27.920154,-17.251081,-5.487090,-1.204246,1.895919,12.664010,-0.000000,0.000000,-0.000000
635,-37.039219,2.775035,22.498025,2.006381,3.156922,25.331895,0.000000,-0.000000,0.000000
636,-12.540371,-6.570631,-0.035343,-1.534071,1.947649,20.101257,-0.000000,-0.000000,-0.000000
637,11.516601,-18.306734,-11.161908,-2.944499,1.412866,15.656592,-0.000000,-0.000000,0.000000
638,-31.543178,15.234713,-4.792986,-2.342578,1.465213,22.025514,0.000000,-0.000000,-0.000000
639,-18.133972,7.540481,-6.729108,-2.744772,1.554941,20.089392,-0.000000,0.000000,0.000000
640,20.994157,8.878014,-7.445790,-1.405643,1.825014,12.362810,0.000000,0.000000,0.000000
641,-33.600203,0.586758,4.645555,-1.385503,2.133928,23.788155,0.000000,0.000000,-0.000000
642,28.998550,-10.435583,9.413415,1.831650,2.853317,12.671625,0.000000,-0.000000,-0.000000
643,41.989968,-7.408487,-18.088001,-2.917732,1.179173,8.730499,0.000000,0.000000,-0.000000
644,-3.892330,-3.681071,13.165277,1.358140,2.837729,18.778907,0.000000,0.000000,0.000000
645,33.523799,-0.398562,-9.965703,-1.550401,1.727318,10.357597,0.000000,-0.000000,-0.000000
646,-30.155198,18.130625,-5.298822,-2.257598,1.402725,21.519678,-0.000000,-0.000000,0.000000
647,-26.912826,7.214823,5.740355,-0.893126,2.304263,22.206955,0.000000,0.000000,0.000000
648,-39.403743,7.219751,32.848704,4.139157,3.610531,26.365604,-0.000000,-0.000000,-0.000000
649,-63.904797,29.675824,-29.147507,-0.436797,0.019824,-2.329007,-0.000000,-0.000000,0.000000
650,-35.429176,2.376904,14.772956,0.522224,2.768829,24.558526,0.000000,0.000000,-0.000000
651,22.969443,-17.838479,-13.506033,-2.951157,1.358421,13.312467,-0.000000,0.000000,0.000000
652,-23.906994,-5.108534,17.785098,1.398306,2.958806,22.803528,-0.000000,0.000000,0.000000
653,47.606857,-7.638641,-19.298239,-2.941443,1.050539,7.520261,0.000000,-0.000000,0.000000
654,-43.488220,26.060886,-8.236185,-0.667820,1.342686,18.582315,0.000000,0.000000,0.000000
655,43.493634,-8.422359,-8.588919,-1.031566,1.890141,8.943881,0.000000,0.000000,-0.000000
656,67.315451,-3.012916,-20.234541,-1.941149,0.431254,2.871459,0.000000,-0.000000,-0.000000
657,60.277937,-1.460296,-18.391128,-1.822563,0.953934,4.390672,0.000000,0.000000,0.000000
658,-23.274797,-8.308977,6.346429,-0.832397,2.308323,22.443929,0.000000,0.000000,0.000000
659,-41.163385,16.179708,-4.587560,-1.897485,1.224108,22.230940,-0.000000,0.000000,0.000000
